title,original_title,author,author_nationality,original_language,translator,year_published,date_discussed,notes,cover
Heart Lamp,,Banu Mushtaq,IND,Kannada,Deepa Bhasthi,2025,2026-01-16,Stories written between 1990 and 2023; collected in English in 2025.,
Obabakoak,Obabakoak,Bernardo Atxaga,ESP,Basque,Margaret Jull Costa,1988,2026-02-20,Written in Basque; translated into English from the author's own Spanish version.,
To Live,活着,Yu Hua,CHN,Chinese,Michael Berry,1993,2026-03-20,,
The Meursault Investigation,"Meursault, contre-enquête",Kamel Daoud,DZA,French,John Cullen,2013,2026-04-17,Paired session — read alongside Camus.,
The Outsider,L'Étranger,Albert Camus,FRA,French,Sandra Smith,1942,2026-04-17,Paired session — read alongside The Meursault Investigation.,
Lemon,레몬,Kwon Yeo-sun,KOR,Korean,Janet Hong,2019,2026-05-15,,
The Temple of the Golden Pavilion,金閣寺,Yukio Mishima,JPN,Japanese,Ivan Morris,1956,2026-06-19,,
The Wall,Die Wand,Marlen Haushofer,AUT,German,Shaun Whiteside,1963,2026-07-17,,
Death and the Penguin,Смерть постороннего,Andrey Kurkov,UKR,Russian,George Bird,1996,2026-08-21,A Ukrainian author writing in Russian.,
The Door,Az ajtó,Magda Szabó,HUN,Hungarian,Len Rix,1987,2026-09-18,,
The Twenty Days of Turin,Le venti giornate di Torino,Giorgio De Maria,ITA,Italian,Ramon Glazov,1977,2026-10-16,,the-twenty-days-of-turin.jpg
Chinatown,Chinatown,Thuận,VNM,Vietnamese,Nguyễn An Lý,2005,2026-11-20,,chinatown.jpg
